,Date,Day,Name,Type,Details
239,Aug 11,Sunday,Tisha B'Av,Jewish holiday, 
240,Aug 11,Sunday,Eid al-Adha,Muslim, 
241,Aug 12,Monday,International Youth Day,United Nations observance, 
242,Aug 12,Monday,Victory Day,State holiday,Rhode Island
243,Aug 14,Wednesday,Raksha Bandhan,Hindu Holiday, 
244,Aug 15,Thursday,Assumption of Mary,Christian, 
245,Aug 16,Friday,Hawaii Statehood Day,State holiday,Hawaii
246,Aug 16,Friday,Bennington Battle Day,State holiday,Vermont
247,Aug 19,Monday,World Humanitarian Day,United Nations observance, 
248,Aug 19,Monday,National Aviation Day,Observance, 
249,Aug 21,Wednesday,Senior Citizens Day,Observance, 
250,Aug 23,Friday,Janmashtami,Hindu Holiday, 
251,Aug 23,Friday,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance, 
252,Aug 26,Monday,Women's Equality Day,Observance, 
253,Aug 27,Tuesday,Lyndon Baines Johnson Day,State holiday,Texas
254,Aug 29,Thursday,International Day against Nuclear Tests,United Nations observance, 
255,Aug 30,Friday,International Day of the Victims of Enforced Disappearances,United Nations observance, 
256,Aug 31,Saturday,Muharram,Muslim, 
257,Aug 31,Saturday,International Overdose Awareness Day,Worldwide observance, 
258,Sep 2,Monday,Ganesh Chaturthi,Hindu Holiday, 
259,Sep 2,Monday,Labor Day,Federal Holiday, 
260,Sep 4,Wednesday,World Sexual Health Day,Worldwide observance, 
261,Sep 5,Thursday,International Day of Charity,United Nations observance, 
262,Sep 7,Saturday,Carl Garner Federal Lands Cleanup Day,Observance, 
263,Sep 8,Sunday,International Literacy Day,United Nations observance, 
264,Sep 8,Sunday,National Grandparents Day,Observance, 
265,Sep 9,Monday,California Admission Day,Local observance,California
266,Sep 10,Tuesday,World Suicide Prevention Day,United Nations observance, 
267,Sep 11,Wednesday,Patriot Day,Observance, 
268,Sep 12,Thursday,International Day for South-South Cooperation,United Nations observance, 
269,Sep 13,Friday,International Programmers' Day,Worldwide observance, 
270,Sep 13,Friday,Friday the 13th,Worldwide observance, 
271,Sep 15,Sunday,International Day of Democracy,United Nations observance, 
272,Sep 16,Monday,International Day for the Preservation of the Ozone Layer,United Nations observance, 
273,Sep 17,Tuesday,Constitution Day and Citizenship Day,Observance, 
274,Sep 18,Wednesday,Air Force Birthday,Observance, 
275,Sep 20,Friday,National POW/MIA Recognition Day,Observance, 
276,Sep 21,Saturday,International Day of Peace,United Nations observance, 
277,Sep 21,Saturday,National CleanUp Day,Observance, 
278,Sep 22,Sunday,Emancipation Day,Local observance,Ohio
279,Sep 23,Monday,September Equinox,Season, 
280,Sep 23,Monday,International Celebrate Bisexuality Day,Worldwide observance, 
281,Sep 26,Thursday,World Maritime Day,United Nations observance, 
282,Sep 26,Thursday,International Day for the Total Elimination of Nuclear Weapons,United Nations observance, 
283,Sep 27,Friday,World Tourism Day,United Nations observance, 
284,Sep 27,Friday,Native American Day,Local observance,California
285,Sep 28,Saturday,World Rabies Day,United Nations observance, 
286,Sep 29,Sunday,Navratri,Hindu Holiday, 
287,Sep 29,Sunday,World Heart Day,Worldwide observance, 
288,Sep 29,Sunday,Gold Star Mother's Day,Observance, 
289,Sep 30,Monday,Rosh Hashana,Jewish holiday, 
290,Sep 30,Monday,Rosh Hashana,State holiday,
291,Oct 1,Tuesday,International Day of Older Persons,United Nations observance, 
292,Oct 1,Tuesday,World Vegetarian Day,Worldwide observance, 
293,Oct 2,Wednesday,International Day of Non-Violence,United Nations observance, 
294,Oct 2,Wednesday,World Cerebral Palsy Day,Worldwide observance, 
295,Oct 4,Friday,Feast of St Francis of Assisi,Christian, 
296,Oct 5,Saturday,World Teachers' Day,United Nations observance, 
297,Oct 7,Monday,Dussehra,Hindu Holiday, 
298,Oct 7,Monday,World Habitat Day,United Nations observance, 
299,Oct 7,Monday,Child Health Day,Observance, 
300,Oct 9,Wednesday,World Post Day,United Nations observance, 
301,Oct 9,Wednesday,International Day for Natural Disaster Reduction,United Nations observance, 
302,Oct 9,Wednesday,Leif Erikson Day,Observance, 
303,Oct 9,Wednesday,Yom Kippur,State holiday,
304,Oct 9,Wednesday,Yom Kippur,Jewish holiday, 
305,Oct 10,Thursday,World Mental Health Day,United Nations observance, 
306,Oct 10,Thursday,World Sight Day,Worldwide observance, 
307,Oct 11,Friday,International Day of the Girl Child,United Nations observance, 
308,Oct 13,Sunday,Navy Birthday,Observance, 
309,Oct 13,Sunday,Chicago Marathon,Sporting event, 
310,Oct 14,Monday,First Day of Sukkot,Jewish holiday, 
311,Oct 14,Monday,Columbus Day,Local observance,Florida
312,Oct 14,Monday,Columbus Day,Federal Holiday,"All except AK,AR,CA,DE,FL,HI,MI,MN,ND,NM,NV,OR,SD,TX,VT,WA,WY,"
313,Oct 14,Monday,Native Americans' Day,Local observance,South Dakota
314,Oct 14,Monday,Indigenous People's Day,Local observance,"AK,CA**,MN**,NM,VT,WA**,"
315,Oct 15,Tuesday,International Day of Rural Women,United Nations observance, 
316,Oct 15,Tuesday,White Cane Safety Day,Observance, 
317,Oct 16,Wednesday,World Food Day,United Nations observance, 
318,Oct 16,Wednesday,Boss's Day,Observance, 
319,Oct 17,Thursday,International Day for the Eradication of Poverty,United Nations observance, 
320,Oct 18,Friday,Alaska Day,State holiday,Alaska
321,Oct 19,Saturday,Sweetest Day,Observance,13 states
322,Oct 20,Sunday,Last Day of Sukkot,Jewish holiday, 
323,Oct 21,Monday,Shmini Atzeret,Jewish holiday, 
324,Oct 22,Tuesday,Simchat Torah,Jewish holiday, 
325,Oct 24,Thursday,United Nations Day,United Nations observance, 
326,Oct 24,Thursday,World Development Information Day,United Nations observance, 
327,Oct 25,Friday,Nevada Day,State holiday,Nevada
328,Oct 27,Sunday,World Day for Audiovisual Heritage,United Nations observance, 
329,Oct 27,Sunday,Diwali/Deepavali,"Observance, Hinduism", 
330,Oct 29,Tuesday,World Stroke Day,Worldwide observance, 
331,Oct 31,Thursday,World Cities Day,United Nations observance, 
332,Oct 31,Thursday,Halloween,Observance, 
333,Nov 1,Friday,All Saints' Day,Christian, 
